Coefficient,MAE,ExpVar
1.3131887922309913,5.379058531502995,0.9284492201055041
1.0192909360923967,5.379058531502995,0.9284492201055041
0.28721410279831927,5.379058531502995,0.9284492201055041
0.05824695310994787,5.379058531502995,0.9284492201055041
0.3623917848750464,5.379058531502995,0.9284492201055041
0.6797304611224722,5.379058531502995,0.9284492201055041
1.474872475181425,5.379058531502995,0.9284492201055041
1.3500660599885226,5.379058531502995,0.9284492201055041
0.3170720599471172,5.379058531502995,0.9284492201055041
1.174906190694829,5.379058531502995,0.9284492201055041
0.6638981904086199,5.379058531502995,0.9284492201055041
1.217500056166977,5.379058531502995,0.9284492201055041
0.1876048358879431,5.379058531502995,0.9284492201055041
0.288649121075218,5.379058531502995,0.9284492201055041
0.26988712017189703,5.379058531502995,0.9284492201055041
0.5168656390274227,5.379058531502995,0.9284492201055041
1.1508188015455802,5.379058531502995,0.9284492201055041
0.2793757170756226,5.379058531502995,0.9284492201055041
1.8023942471420966,5.379058531502995,0.9284492201055041
20.130471344594277,5.379058531502995,0.9284492201055041
0.3845846062117968,5.379058531502995,0.9284492201055041
0.3825710461959235,5.379058531502995,0.9284492201055041
0.21787152391726594,5.379058531502995,0.9284492201055041
